fred_code,series_name
PPIENG,FuelsAndRelatedProductsAndPower
WPU01,FarmProducts
WPU02,ProcessedFoodsAndFeeds
WPU03,TextileProductsAndApparel
WPU03T15M05,IndustrialCommoditiesLessFuels
WPU04,HidesSkinsLeatherAndRelatedProducts
WPU057,PetroleumProductsRefined
WPU06,ChemicalsAndAlliedProducts
WPU061,IndustrialChemicals
WPU07,RubberAndPlasticProducts
WPU08,LumberAndWoodProducts
WPU09,PulpPaperAndAlliedProducts
WPU10,MetalsAndMetalProducts
WPU11,MachineryAndEquipment
WPU114,GeneralPurposeMachineryAndEquipment
WPU117,ElectricalMachineryAndEquipment
WPU1178,ElectronicComponentsAndAccessories
WPU12,FurnitureAndHouseholdDurables
WPU13,NonmetallicMineralProducts
WPU14,TransportationEquipment
WPU142,TransportationEquipment:AircraftAndAircraftEquipment
WPU15,MiscellaneousProducts
WPU30,TransportationServices
WPU31,ServicesRelatedtoTransportationActivities
WPU32,WarehousingStorageAndRelatedServices
WPU33,PublishingSalesExcludingSoftware
WPU34,SoftwarePublishing
WPU35,NetworkCompensationfromBroadcastAndCableTelevisionAndRadio
WPU36,AdvertisingSpaceAndTimeSales
WPU37,TelecommunicationCableAndInternetUserServices
WPU38,DataProcessingAndRelatedServices
WPU39,CreditIntermediationServices
WPU40,InvestmentServices
WPU41,InsuranceAndAnnuities
WPU42,CommissionsAndFeesfromSalesAndAdministrationofInsurancePolicies
WPU43,RealEstateServices
WPU44,RentalAndLeasingofGoods
WPU45,ProfessionalServices
WPU46,EmploymentServices
WPU47,TravelArrangementServices
WPU48,SelectedSecurityServices
WPU49,CleaningAndBuildingMaintenanceServices
WPU50,WasteCollectionAndRemediationServices
WPU51,HealthCareServices
WPU52,EducationalServices
WPU53,AccommodationServices
WPU54,FoodAndBeverageforImmediateConsumptionServices
WPU55,RepairAndMaintenanceServices
WPU56,EntertainmentServices
WPU57,WholesaleTradeServices
WPU58,RetailTradeServices
WPU59,MetalTreatmentServices
WPU60,MiningServices
WPU61,ContractWorkonTextileProductsApparelAndLeather
WPU80,Construction